Random seed = 2081894615
Running evolution experiment (on the T_search tasks)...
indivs=1431000, elapsed_secs=16456, mean=0.967522, stdev=0.109939, best fit=0.980517,
indivs=1441000, elapsed_secs=16587, mean=0.961237, stdev=0.134952, best fit=0.980517,
indivs=1451000, elapsed_secs=16714, mean=0.963601, stdev=0.125546, best fit=0.980517,
indivs=1461000, elapsed_secs=16839, mean=0.966100, stdev=0.116810, best fit=0.980517,
indivs=1471000, elapsed_secs=16963, mean=0.961296, stdev=0.134538, best fit=0.980517,
indivs=1481000, elapsed_secs=17089, mean=0.959296, stdev=0.141486, best fit=0.980517,
indivs=1491000, elapsed_secs=17217, mean=0.959354, stdev=0.141092, best fit=0.980517,
indivs=1501000, elapsed_secs=17345, mean=0.960296, stdev=0.138059, best fit=0.980517,
indivs=1511000, elapsed_secs=17474, mean=0.962679, stdev=0.129108, best fit=0.980517,
indivs=1521000, elapsed_secs=17602, mean=0.965120, stdev=0.120734, best fit=0.980517,
indivs=1531000, elapsed_secs=17731, mean=0.967984, stdev=0.109198, best fit=0.980517,
indivs=1541000, elapsed_secs=17860, mean=0.954510, stdev=0.156114, best fit=0.980517,
indivs=1551000, elapsed_secs=17990, mean=0.963718, stdev=0.125019, best fit=0.980517,
indivs=1561000, elapsed_secs=18119, mean=0.953206, stdev=0.158976, best fit=0.980517,
indivs=1571000, elapsed_secs=18249, mean=0.956413, stdev=0.150526, best fit=0.980517,
indivs=1581000, elapsed_secs=18380, mean=0.962237, stdev=0.131340, best fit=0.980517,
indivs=1591000, elapsed_secs=18511, mean=0.960218, stdev=0.138596, best fit=0.980517,
indivs=1601000, elapsed_secs=18643, mean=0.961237, stdev=0.134952, best fit=0.980517,
indivs=1611000, elapsed_secs=18775, mean=0.962640, stdev=0.129248, best fit=0.980517,
indivs=1621000, elapsed_secs=18904, mean=0.957335, stdev=0.147831, best fit=0.980517,
indivs=1631000, elapsed_secs=19032, mean=0.965120, stdev=0.120734, best fit=0.980517,
indivs=1641000, elapsed_secs=19161, mean=0.961199, stdev=0.135227, best fit=0.980517,
indivs=1651000, elapsed_secs=19288, mean=0.954856, stdev=0.154565, best fit=0.980517,
indivs=1661000, elapsed_secs=19413, mean=0.954511, stdev=0.156115, best fit=0.980517,
indivs=1671000, elapsed_secs=19538, mean=0.957894, stdev=0.145103, best fit=0.980517,
indivs=1681000, elapsed_secs=19662, mean=0.958315, stdev=0.144696, best fit=0.980517,
indivs=1691000, elapsed_secs=19785, mean=0.963620, stdev=0.123962, best fit=0.980517,
indivs=1701000, elapsed_secs=19911, mean=0.960257, stdev=0.138328, best fit=0.980517,
