Random seed = 2081894615
Running evolution experiment (on the T_search tasks)...
indivs=1700100, elapsed_secs=259, mean=0.612917, stdev=0.045756, best fit=0.625000,
indivs=1710100, elapsed_secs=261, mean=0.621667, stdev=0.011304, best fit=0.625000,
indivs=1720100, elapsed_secs=262, mean=0.622083, stdev=0.010631, best fit=0.625000,
indivs=1730100, elapsed_secs=263, mean=0.624167, stdev=0.005833, best fit=0.625000,
indivs=1740100, elapsed_secs=264, mean=0.618333, stdev=0.024095, best fit=0.625000,
indivs=1750100, elapsed_secs=266, mean=0.618333, stdev=0.030459, best fit=0.625000,
indivs=1760100, elapsed_secs=267, mean=0.598333, stdev=0.122406, best fit=0.625000,
indivs=1770100, elapsed_secs=269, mean=0.620417, stdev=0.022742, best fit=0.625000,
indivs=1780100, elapsed_secs=270, mean=0.618333, stdev=0.030459, best fit=0.625000,
indivs=1790100, elapsed_secs=272, mean=0.620417, stdev=0.013037, best fit=0.625000,
indivs=1800100, elapsed_secs=273, mean=0.620417, stdev=0.013037, best fit=0.625000,
indivs=1810100, elapsed_secs=274, mean=0.611250, stdev=0.049671, best fit=0.625000,
indivs=1820100, elapsed_secs=275, mean=0.612500, stdev=0.045833, best fit=0.625000,
indivs=1830100, elapsed_secs=277, mean=0.622500, stdev=0.009895, best fit=0.625000,
indivs=1840100, elapsed_secs=278, mean=0.622083, stdev=0.010631, best fit=0.625000,
indivs=1850100, elapsed_secs=279, mean=0.616667, stdev=0.031180, best fit=0.625000,
indivs=1860100, elapsed_secs=280, mean=0.620417, stdev=0.013037, best fit=0.625000,
indivs=1870100, elapsed_secs=281, mean=0.619583, stdev=0.023315, best fit=0.625000,
indivs=1880100, elapsed_secs=282, mean=0.621667, stdev=0.021794, best fit=0.625000,
indivs=1890100, elapsed_secs=283, mean=0.618333, stdev=0.030459, best fit=0.625000,
indivs=1900100, elapsed_secs=284, mean=0.622500, stdev=0.009895, best fit=0.625000,
indivs=1910100, elapsed_secs=286, mean=0.623333, stdev=0.008165, best fit=0.625000,
indivs=1920100, elapsed_secs=288, mean=0.614167, stdev=0.065781, best fit=0.625000,
indivs=1930100, elapsed_secs=289, mean=0.617083, stdev=0.062554, best fit=0.625000,
indivs=1940100, elapsed_secs=291, mean=0.612083, stdev=0.068641, best fit=0.625000,
indivs=1950100, elapsed_secs=293, mean=0.616667, stdev=0.031180, best fit=0.625000,
indivs=1960100, elapsed_secs=295, mean=0.614583, stdev=0.041405, best fit=0.625000,
indivs=1970100, elapsed_secs=296, mean=0.617500, stdev=0.036027, best fit=0.625000,
indivs=1980100, elapsed_secs=297, mean=0.622917, stdev=0.009081, best fit=0.625000,
indivs=1990100, elapsed_secs=299, mean=0.622917, stdev=0.009081, best fit=0.625000,
indivs=2000100, elapsed_secs=300, mean=0.615417, stdev=0.062875, best fit=0.625000,
indivs=2010100, elapsed_secs=302, mean=0.619167, stdev=0.023585, best fit=0.625000,
indivs=2020100, elapsed_secs=303, mean=0.621667, stdev=0.011304, best fit=0.625000,
indivs=2030100, elapsed_secs=305, mean=0.617500, stdev=0.030833, best fit=0.625000,
indivs=2040100, elapsed_secs=307, mean=0.615000, stdev=0.065648, best fit=0.625000,
indivs=2050100, elapsed_secs=308, mean=0.612083, stdev=0.068641, best fit=0.625000,
indivs=2060100, elapsed_secs=310, mean=0.618750, stdev=0.030262, best fit=0.625000,
indivs=2070100, elapsed_secs=311, mean=0.620833, stdev=0.022438, best fit=0.625000,
indivs=2080100, elapsed_secs=312, mean=0.619583, stdev=0.014013, best fit=0.625000,
indivs=2090100, elapsed_secs=314, mean=0.619167, stdev=0.030058, best fit=0.625000,
indivs=2100100, elapsed_secs=315, mean=0.618750, stdev=0.023845, best fit=0.625000,
indivs=2110100, elapsed_secs=316, mean=0.621667, stdev=0.011304, best fit=0.625000,
indivs=2120100, elapsed_secs=318, mean=0.617917, stdev=0.024335, best fit=0.625000,
indivs=2130100, elapsed_secs=319, mean=0.617500, stdev=0.024566, best fit=0.625000,
indivs=2140100, elapsed_secs=321, mean=0.618750, stdev=0.023845, best fit=0.625000,
indivs=2150100, elapsed_secs=322, mean=0.619583, stdev=0.023315, best fit=0.625000,
indivs=2160100, elapsed_secs=324, mean=0.610833, stdev=0.071254, best fit=0.625000,
indivs=2170100, elapsed_secs=325, mean=0.606250, stdev=0.091738, best fit=0.625000,
indivs=2180100, elapsed_secs=327, mean=0.615000, stdev=0.065648, best fit=0.625000,
indivs=2190100, elapsed_secs=329, mean=0.623750, stdev=0.007108, best fit=0.625000,
indivs=2200100, elapsed_secs=330, mean=0.621667, stdev=0.011304, best fit=0.625000,
indivs=2210100, elapsed_secs=332, mean=0.613750, stdev=0.065843, best fit=0.625000,
indivs=2220100, elapsed_secs=334, mean=0.616667, stdev=0.031180, best fit=0.625000,
indivs=2230100, elapsed_secs=336, mean=0.619583, stdev=0.023315, best fit=0.625000,
indivs=2240100, elapsed_secs=337, mean=0.615833, stdev=0.031502, best fit=0.625000,
indivs=2250100, elapsed_secs=339, mean=0.619167, stdev=0.023585, best fit=0.625000,
indivs=2260100, elapsed_secs=340, mean=0.612500, stdev=0.041874, best fit=0.625000,
indivs=2270100, elapsed_secs=342, mean=0.616667, stdev=0.031180, best fit=0.625000,
indivs=2280100, elapsed_secs=343, mean=0.624583, stdev=0.004146, best fit=0.625000,
