Random seed = 405515805
Running evolution experiment (on the T_search tasks)...
indivs=1050100, elapsed_secs=794, mean=0.588919, stdev=0.188134, best fit=0.711712,
indivs=1060100, elapsed_secs=802, mean=0.575495, stdev=0.192326, best fit=0.711712,
indivs=1070100, elapsed_secs=811, mean=0.612162, stdev=0.176941, best fit=0.711712,
indivs=1080100, elapsed_secs=820, mean=0.581441, stdev=0.191214, best fit=0.711712,
indivs=1090100, elapsed_secs=828, mean=0.587027, stdev=0.189681, best fit=0.711712,
indivs=1100100, elapsed_secs=835, mean=0.589910, stdev=0.186804, best fit=0.711712,
indivs=1110100, elapsed_secs=841, mean=0.617297, stdev=0.170299, best fit=0.711712,
indivs=1120100, elapsed_secs=847, mean=0.602883, stdev=0.179868, best fit=0.711712,
indivs=1130100, elapsed_secs=853, mean=0.579009, stdev=0.193448, best fit=0.711712,
indivs=1140100, elapsed_secs=860, mean=0.610000, stdev=0.171087, best fit=0.711712,
indivs=1150100, elapsed_secs=866, mean=0.581351, stdev=0.191350, best fit=0.711712,
indivs=1160100, elapsed_secs=873, mean=0.595405, stdev=0.186311, best fit=0.711712,
indivs=1170100, elapsed_secs=882, mean=0.589640, stdev=0.199705, best fit=0.711712,
indivs=1180100, elapsed_secs=890, mean=0.622883, stdev=0.168726, best fit=0.711712,
indivs=1190100, elapsed_secs=899, mean=0.605045, stdev=0.187031, best fit=0.711712,
indivs=1200100, elapsed_secs=909, mean=0.596396, stdev=0.183461, best fit=0.711712,
indivs=1210100, elapsed_secs=918, mean=0.569550, stdev=0.205194, best fit=0.711712,
indivs=1220100, elapsed_secs=927, mean=0.559279, stdev=0.204977, best fit=0.711712,
indivs=1230100, elapsed_secs=937, mean=0.590721, stdev=0.186098, best fit=0.711712,
indivs=1240100, elapsed_secs=946, mean=0.585315, stdev=0.185229, best fit=0.711712,
indivs=1250100, elapsed_secs=954, mean=0.587207, stdev=0.189795, best fit=0.711712,
indivs=1260100, elapsed_secs=961, mean=0.599459, stdev=0.183772, best fit=0.711712,
indivs=1270100, elapsed_secs=968, mean=0.610450, stdev=0.176798, best fit=0.711712,
indivs=1280100, elapsed_secs=975, mean=0.631171, stdev=0.160111, best fit=0.711712,
indivs=1290100, elapsed_secs=982, mean=0.550360, stdev=0.199992, best fit=0.711712,
indivs=1300100, elapsed_secs=989, mean=0.609820, stdev=0.177277, best fit=0.711712,
indivs=1310100, elapsed_secs=996, mean=0.599730, stdev=0.184133, best fit=0.711712,
indivs=1320100, elapsed_secs=1003, mean=0.597207, stdev=0.183988, best fit=0.711712,
indivs=1330100, elapsed_secs=1009, mean=0.632883, stdev=0.162534, best fit=0.711712,
indivs=1340100, elapsed_secs=1016, mean=0.624234, stdev=0.169016, best fit=0.711712,
indivs=1350100, elapsed_secs=1024, mean=0.573063, stdev=0.204137, best fit=0.711712,
indivs=1360100, elapsed_secs=1032, mean=0.585315, stdev=0.189517, best fit=0.711712,
indivs=1370100, elapsed_secs=1041, mean=0.581532, stdev=0.190371, best fit=0.711712,
indivs=1380100, elapsed_secs=1049, mean=0.568649, stdev=0.195395, best fit=0.711712,
indivs=1390100, elapsed_secs=1056, mean=0.577027, stdev=0.190405, best fit=0.711712,
indivs=1400100, elapsed_secs=1063, mean=0.597387, stdev=0.183866, best fit=0.711712,
indivs=1410100, elapsed_secs=1071, mean=0.607838, stdev=0.179505, best fit=0.711712,
indivs=1420100, elapsed_secs=1080, mean=0.597297, stdev=0.184042, best fit=0.711712,
indivs=1430100, elapsed_secs=1086, mean=0.597387, stdev=0.183663, best fit=0.711712,
indivs=1440100, elapsed_secs=1093, mean=0.591081, stdev=0.187768, best fit=0.711712,
indivs=1450100, elapsed_secs=1102, mean=0.612793, stdev=0.174291, best fit=0.711712,
indivs=1460100, elapsed_secs=1111, mean=0.609189, stdev=0.184541, best fit=0.711712,
indivs=1470100, elapsed_secs=1120, mean=0.608739, stdev=0.176555, best fit=0.711712,
indivs=1480100, elapsed_secs=1129, mean=0.617568, stdev=0.172020, best fit=0.711712,
indivs=1490100, elapsed_secs=1136, mean=0.588919, stdev=0.187935, best fit=0.711712,
indivs=1500100, elapsed_secs=1144, mean=0.566306, stdev=0.195327, best fit=0.711712,
indivs=1510100, elapsed_secs=1153, mean=0.586577, stdev=0.188161, best fit=0.711712,
indivs=1520100, elapsed_secs=1161, mean=0.599640, stdev=0.183878, best fit=0.711712,
indivs=1530100, elapsed_secs=1170, mean=0.570901, stdev=0.205744, best fit=0.711712,
indivs=1540100, elapsed_secs=1179, mean=0.598198, stdev=0.180464, best fit=0.711712,
