Random seed = 2081894615
Running evolution experiment (on the T_search tasks)...
indivs=1550100, elapsed_secs=67, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=1560100, elapsed_secs=68, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=1570100, elapsed_secs=68, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=1580100, elapsed_secs=69, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=1590100, elapsed_secs=69, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=1600100, elapsed_secs=70, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=1610100, elapsed_secs=70, mean=0.679167, stdev=0.173355, best fit=0.750000,
indivs=1620100, elapsed_secs=71, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=1630100, elapsed_secs=71, mean=0.684167, stdev=0.168034, best fit=0.750000,
indivs=1640100, elapsed_secs=71, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=1650100, elapsed_secs=72, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=1660100, elapsed_secs=72, mean=0.665000, stdev=0.187816, best fit=0.750000,
indivs=1670100, elapsed_secs=73, mean=0.669167, stdev=0.183127, best fit=0.750000,
indivs=1680100, elapsed_secs=73, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=1690100, elapsed_secs=74, mean=0.723333, stdev=0.109214, best fit=0.750000,
indivs=1700100, elapsed_secs=74, mean=0.705833, stdev=0.140661, best fit=0.750000,
indivs=1710100, elapsed_secs=74, mean=0.660000, stdev=0.192094, best fit=0.750000,
indivs=1720100, elapsed_secs=75, mean=0.660000, stdev=0.192094, best fit=0.750000,
indivs=1730100, elapsed_secs=75, mean=0.710000, stdev=0.135647, best fit=0.750000,
indivs=1740100, elapsed_secs=76, mean=0.674167, stdev=0.178378, best fit=0.750000,
indivs=1750100, elapsed_secs=76, mean=0.668333, stdev=0.182947, best fit=0.750000,
indivs=1760100, elapsed_secs=77, mean=0.689167, stdev=0.162385, best fit=0.750000,
indivs=1770100, elapsed_secs=77, mean=0.645000, stdev=0.203654, best fit=0.750000,
indivs=1780100, elapsed_secs=78, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=1790100, elapsed_secs=78, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=1800100, elapsed_secs=78, mean=0.665000, stdev=0.187816, best fit=0.750000,
indivs=1810100, elapsed_secs=79, mean=0.705000, stdev=0.143091, best fit=0.750000,
indivs=1820100, elapsed_secs=79, mean=0.659167, stdev=0.191882, best fit=0.750000,
indivs=1830100, elapsed_secs=80, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=1840100, elapsed_secs=80, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=1850100, elapsed_secs=81, mean=0.645000, stdev=0.203654, best fit=0.750000,
indivs=1860100, elapsed_secs=81, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=1870100, elapsed_secs=82, mean=0.645000, stdev=0.203654, best fit=0.750000,
indivs=1880100, elapsed_secs=82, mean=0.664167, stdev=0.187622, best fit=0.750000,
indivs=1890100, elapsed_secs=82, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=1900100, elapsed_secs=83, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=1910100, elapsed_secs=83, mean=0.669167, stdev=0.183127, best fit=0.750000,
indivs=1920100, elapsed_secs=84, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=1930100, elapsed_secs=84, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=1940100, elapsed_secs=85, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=1950100, elapsed_secs=85, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=1960100, elapsed_secs=85, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=1970100, elapsed_secs=86, mean=0.719167, stdev=0.118822, best fit=0.750000,
indivs=1980100, elapsed_secs=86, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=1990100, elapsed_secs=87, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=2000100, elapsed_secs=87, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=2010100, elapsed_secs=88, mean=0.684167, stdev=0.168034, best fit=0.750000,
indivs=2020100, elapsed_secs=88, mean=0.720000, stdev=0.118743, best fit=0.750000,
indivs=2030100, elapsed_secs=89, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=2040100, elapsed_secs=89, mean=0.694167, stdev=0.156372, best fit=0.750000,
indivs=2050100, elapsed_secs=89, mean=0.660000, stdev=0.192094, best fit=0.750000,
indivs=2060100, elapsed_secs=90, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=2070100, elapsed_secs=90, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=2080100, elapsed_secs=91, mean=0.710000, stdev=0.135647, best fit=0.750000,
indivs=2090100, elapsed_secs=91, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=2100100, elapsed_secs=92, mean=0.683333, stdev=0.168325, best fit=0.750000,
indivs=2110100, elapsed_secs=92, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=2120100, elapsed_secs=92, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=2130100, elapsed_secs=93, mean=0.635000, stdev=0.210416, best fit=0.750000,
indivs=2140100, elapsed_secs=93, mean=0.694167, stdev=0.156372, best fit=0.750000,
indivs=2150100, elapsed_secs=94, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=2160100, elapsed_secs=94, mean=0.649167, stdev=0.199755, best fit=0.750000,
indivs=2170100, elapsed_secs=95, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=2180100, elapsed_secs=95, mean=0.705000, stdev=0.143091, best fit=0.750000,
indivs=2190100, elapsed_secs=95, mean=0.703333, stdev=0.143042, best fit=0.750000,
indivs=2200100, elapsed_secs=96, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=2210100, elapsed_secs=96, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=2220100, elapsed_secs=97, mean=0.668333, stdev=0.183326, best fit=0.750000,
indivs=2230100, elapsed_secs=97, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=2240100, elapsed_secs=98, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=2250100, elapsed_secs=98, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=2260100, elapsed_secs=99, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=2270100, elapsed_secs=99, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=2280100, elapsed_secs=99, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=2290100, elapsed_secs=100, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=2300100, elapsed_secs=100, mean=0.694167, stdev=0.156372, best fit=0.750000,
indivs=2310100, elapsed_secs=101, mean=0.684167, stdev=0.168034, best fit=0.750000,
indivs=2320100, elapsed_secs=101, mean=0.660000, stdev=0.192094, best fit=0.750000,
indivs=2330100, elapsed_secs=102, mean=0.699167, stdev=0.149951, best fit=0.750000,
indivs=2340100, elapsed_secs=102, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=2350100, elapsed_secs=103, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=2360100, elapsed_secs=103, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=2370100, elapsed_secs=104, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=2380100, elapsed_secs=104, mean=0.689167, stdev=0.162385, best fit=0.750000,
indivs=2390100, elapsed_secs=104, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=2400100, elapsed_secs=105, mean=0.714167, stdev=0.127614, best fit=0.750000,
indivs=2410100, elapsed_secs=105, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=2420100, elapsed_secs=106, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=2430100, elapsed_secs=106, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=2440100, elapsed_secs=107, mean=0.665000, stdev=0.187816, best fit=0.750000,
indivs=2450100, elapsed_secs=107, mean=0.714167, stdev=0.127614, best fit=0.750000,
indivs=2460100, elapsed_secs=108, mean=0.715000, stdev=0.127574, best fit=0.750000,
indivs=2470100, elapsed_secs=108, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=2480100, elapsed_secs=108, mean=0.705000, stdev=0.143091, best fit=0.750000,
indivs=2490100, elapsed_secs=109, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=2500100, elapsed_secs=109, mean=0.655000, stdev=0.196150, best fit=0.750000,
indivs=2510100, elapsed_secs=110, mean=0.645000, stdev=0.203654, best fit=0.750000,
indivs=2520100, elapsed_secs=110, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=2530100, elapsed_secs=111, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=2540100, elapsed_secs=111, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=2550100, elapsed_secs=111, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=2560100, elapsed_secs=112, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=2570100, elapsed_secs=112, mean=0.720000, stdev=0.118743, best fit=0.750000,
indivs=2580100, elapsed_secs=113, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=2590100, elapsed_secs=113, mean=0.654167, stdev=0.195922, best fit=0.750000,
indivs=2600100, elapsed_secs=113, mean=0.699167, stdev=0.149951, best fit=0.750000,
indivs=2610100, elapsed_secs=114, mean=0.664167, stdev=0.187622, best fit=0.750000,
indivs=2620100, elapsed_secs=114, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=2630100, elapsed_secs=115, mean=0.665000, stdev=0.187816, best fit=0.750000,
indivs=2640100, elapsed_secs=115, mean=0.704167, stdev=0.143069, best fit=0.750000,
indivs=2650100, elapsed_secs=116, mean=0.714167, stdev=0.127614, best fit=0.750000,
indivs=2660100, elapsed_secs=116, mean=0.640000, stdev=0.207123, best fit=0.750000,
indivs=2670100, elapsed_secs=116, mean=0.674167, stdev=0.178378, best fit=0.750000,
indivs=2680100, elapsed_secs=117, mean=0.665000, stdev=0.187816, best fit=0.750000,
indivs=2690100, elapsed_secs=117, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=2700100, elapsed_secs=118, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=2710100, elapsed_secs=118, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=2720100, elapsed_secs=119, mean=0.710000, stdev=0.135647, best fit=0.750000,
indivs=2730100, elapsed_secs=119, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=2740100, elapsed_secs=119, mean=0.660000, stdev=0.192094, best fit=0.750000,
indivs=2750100, elapsed_secs=120, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=2760100, elapsed_secs=120, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=2770100, elapsed_secs=121, mean=0.704167, stdev=0.143069, best fit=0.750000,
indivs=2780100, elapsed_secs=121, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=2790100, elapsed_secs=122, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=2800100, elapsed_secs=122, mean=0.705000, stdev=0.143091, best fit=0.750000,
indivs=2810100, elapsed_secs=123, mean=0.650000, stdev=0.200000, best fit=0.750000,
indivs=2820100, elapsed_secs=123, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=2830100, elapsed_secs=123, mean=0.720000, stdev=0.118743, best fit=0.750000,
indivs=2840100, elapsed_secs=124, mean=0.659167, stdev=0.191882, best fit=0.750000,
indivs=2850100, elapsed_secs=124, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=2860100, elapsed_secs=125, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=2870100, elapsed_secs=125, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=2880100, elapsed_secs=126, mean=0.708333, stdev=0.135657, best fit=0.750000,
indivs=2890100, elapsed_secs=126, mean=0.709167, stdev=0.135654, best fit=0.750000,
indivs=2900100, elapsed_secs=127, mean=0.649167, stdev=0.199755, best fit=0.750000,
indivs=2910100, elapsed_secs=127, mean=0.689167, stdev=0.162385, best fit=0.750000,
indivs=2920100, elapsed_secs=127, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=2930100, elapsed_secs=128, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=2940100, elapsed_secs=128, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=2950100, elapsed_secs=129, mean=0.698333, stdev=0.149898, best fit=0.750000,
indivs=2960100, elapsed_secs=129, mean=0.713333, stdev=0.127650, best fit=0.750000,
indivs=2970100, elapsed_secs=130, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=2980100, elapsed_secs=130, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=2990100, elapsed_secs=131, mean=0.678333, stdev=0.173614, best fit=0.750000,
